date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-24,82.309,83.8293,82.309,83.3566,3267762,3267762,1.0846,1.318,83.3748,"Feb 24, 14",0
2014-02-25,83.4307,83.7737,82.6428,83.3473,2914759,2914759,-0.00927,-0.011,83.2966,"Feb 25, 14",-0.00011156884997703948
2014-02-26,83.579,84.0704,82.6984,83.1804,4840187,4840187,-0.166861,-0.2,83.1949,"Feb 26, 14",-0.0021138098242969887
2014-02-27,83.1063,83.8293,82.9765,83.6996,3075588,3075588,0.519125,0.624,83.578,"Feb 27, 14",0.004114851133563551
2014-02-28,83.6625,85.4099,83.5142,84.6173,4691121,4691121,0.917737,1.096,84.6855,"Feb 28, 14",0.015124177329689549
2014-03-03,83.9869,84.0147,82.652,83.4029,3465250,3465250,-1.2144,-1.435,83.0473,"Mar 3, 14",0.0005554449197784246
2014-03-04,84.4041,85.9151,84.3855,85.8502,3755559,3755559,2.4473,2.934,85.3308,"Mar 4, 14",0.029914847774501367
2014-03-05,85.8317,85.8317,85.2013,85.4145,3086478,3086478,-0.435693,-0.508,85.4247,"Mar 5, 14",0.02468790713632758
2014-03-06,85.8039,86.805,85.6185,86.6938,3962682,3962682,1.2793,1.498,86.4472,"Mar 6, 14",0.04003522216597121
2014-03-07,87.2407,87.4632,86.5455,87.009,3864611,3864611,0.315181,0.364,91.3916,"Mar 7, 14",0.04381656641465703
2014-03-10,86.7865,87.0275,86.3415,86.8607,2218705,2218705,-0.148319,-0.17,86.7761,"Mar 10, 14",0.04203746314029116
2014-03-11,86.9812,87.0275,86.2396,86.3971,1946279,1946279,-0.463507,-0.534,86.5557,"Mar 11, 14",0.03647581595218608
2014-03-12,85.9151,86.1376,85.192,86.119,2486089,2486089,-0.278101,-0.322,85.7873,"Mar 12, 14",0.033139547438355205
2014-03-13,86.3971,86.6567,83.8108,84.0704,3990350,3990350,-2.0487,-2.379,79.339,"Mar 13, 14",0.008563209152004835
2014-03-14,83.9406,84.5617,83.0968,83.5883,3583900,3583900,-0.482041,-0.573,83.8236,"Mar 14, 14",0.002779623928999066
2014-03-17,83.9035,85.0344,83.885,84.5988,3039966,3039966,1.0104,1.209,84.5297,"Mar 17, 14",0.014902239294788858
2014-03-18,84.608,85.2569,84.4782,84.9047,2348331,2348331,0.305914,0.362,84.8528,"Mar 18, 14",0.018572014693497636
2014-03-19,84.9788,85.2477,83.6903,84.1074,3425706,3425706,-0.797226,-0.939,82.6563,"Mar 19, 14",0.009007085221806049
2014-03-20,83.8757,85.192,83.6439,84.9974,3779744,3779744,0.889925,1.058,84.7801,"Mar 20, 14",0.01968410419810787
2014-03-21,86.0078,86.8792,84.6915,84.8398,6684544,6684544,-0.15759,-0.185,82.8537,"Mar 21, 14",0.017793432073764964
2014-03-24,84.951,85.053,83.6949,84.367,2525775,2525775,-0.472775,-0.557,84.2892,"Mar 24, 14",0.012121415700736405
2014-03-25,84.7007,85.192,84.0147,84.2094,2420122,2420122,-0.157589,-0.187,84.4848,"Mar 25, 14",0.010230743576393494
2014-03-26,84.6915,84.9973,83.0877,83.1155,3011622,3011622,-1.0939,-1.299,83.6605,"Mar 26, 14",-0.0028923924440296626
2014-03-27,83.1526,83.8293,82.754,83.4215,3602751,3602751,0.305912,0.368,82.9424,"Mar 27, 14",0.0007785826197325036
2014-03-28,83.681,84.8769,83.4307,83.8571,3138927,3138927,0.435692,0.522,84.1557,"Mar 28, 14",0.006004323592852904
2014-03-31,84.4319,85.2291,83.3195,83.4585,5172409,5172409,-0.398612,-0.475,83.9268,"Mar 31, 14",0.0012224586895338886
2014-04-01,83.8015,84.5709,83.6254,84.5153,2821615,2821615,1.0568,1.266,84.2357,"Apr 1, 14",0.013900518975102104
2014-04-02,84.4317,84.6547,83.7626,84.0135,2886616,2886616,-0.501831,-0.594,84.0737,"Apr 2, 14",0.007880599736553471
2014-04-03,84.2644,84.7569,84.0135,84.5525,2483562,2483562,0.539023,0.642,84.5341,"Apr 3, 14",0.014346794375010432
2014-04-04,84.7291,84.9428,82.7775,82.8704,2939772,2939772,-1.6821,-1.989,83.5175,"Apr 4, 14",-0.005832771490199896
2014-04-07,82.7403,83.112,80.4355,80.482,5558259,5558259,-2.3884,-2.882,81.0482,"Apr 7, 14",-0.03448557162840136
2014-04-08,80.5098,80.6678,79.534,80.3797,3880357,3880357,-0.102227,-0.127,80.2733,"Apr 8, 14",-0.03571282897814931
2014-04-09,80.7608,82.4522,80.5191,82.4522,3599617,3599617,2.0725,2.578,81.7098,"Apr 9, 14",-0.010849770744008218
2014-04-10,82.2198,82.4754,79.2738,79.3296,5213765,5213765,-3.1226,-3.787,79.8116,"Apr 10, 14",-0.04831051170513194
2014-04-11,78.9021,79.4085,78.0563,78.5675,4014277,4014277,-0.762067,-0.961,78.653,"Apr 11, 14",-0.05745315907798548
2014-04-14,79.0786,80.2403,78.1028,79.4597,4015913,4015913,0.892179,1.136,79.2432,"Apr 14, 14",-0.04674974747050626
2014-04-15,79.8035,80.6028,78.363,79.9615,3741860,3741860,0.50185,0.632,79.5177,"Apr 15, 14",-0.04072982823195763
2014-04-16,80.705,81.2998,80.3704,81.2254,4055995,4055995,1.2639,1.581,80.9287,"Apr 16, 14",-0.02556726162055562
2014-04-17,81.0024,81.7087,79.0879,80.1288,9244808,9244808,-1.0966,-1.35,79.9123,"Apr 17, 14",-0.038722788597423626
2014-04-21,80.2775,80.7189,80.073,80.547,3762330,3762330,0.418209,0.522,80.4953,"Apr 21, 14",-0.0337057893436153
2014-04-22,80.5842,81.2626,80.324,80.9187,3420444,3420444,0.371742,0.462,80.9768,"Apr 22, 14",-0.029246634339692348
2014-04-23,80.863,81.4485,80.5498,80.9745,3788218,3788218,0.05576,0.069,80.9703,"Apr 23, 14",-0.02857722123982977
2014-04-24,81.0953,81.7645,80.77,81.2347,3187102,3187102,0.260218,0.321,81.2592,"Apr 24, 14",-0.025455692770578412
2014-04-25,80.8723,81.1325,80.5005,80.8816,4232260,4232260,-0.353155,-0.435,80.8269,"Apr 25, 14",-0.029691710074547118
2014-04-28,81.2626,81.3927,79.7849,80.9095,4760553,4760553,0.027881,0.034,80.672,"Apr 28, 14",-0.029357003524616
2014-04-29,81.1697,81.7366,81.0303,81.5879,2853035,2853035,0.678426,0.839,81.5424,"Apr 29, 14",-0.021218475801556152
2014-04-30,81.4206,81.4671,80.8165,81.2533,4354497,4354497,-0.334565,-0.41,81.207,"Apr 30, 14",-0.025232555070624333
2014-05-01,81.3463,81.3881,80.231,80.6864,4680412,4680412,-0.566904,-0.698,80.7732,"May 1, 14",-0.03203345625901241
2014-05-02,80.6399,81.1418,80.3054,80.7886,3707385,3707385,0.102229,0.127,80.7152,"May 2, 14",-0.030807398574318023
2014-05-05,79.9243,81.244,79.692,81.1883,3340078,3340078,0.39962,0.495,80.8935,"May 5, 14",-0.026012337355410396
2014-05-06,81.086,81.086,79.9987,80.1102,3269355,3269355,-1.078,-1.328,81.6579,"May 6, 14",-0.038945926297377705
2014-05-07,80.6585,81.8295,80.0266,81.7645,4601515,4601515,1.6542,2.065,81.3024,"May 7, 14",-0.019099867317045105
2014-05-08,81.6715,82.9726,81.4671,82.3592,4220350,4220350,0.594784,0.727,85.2684,"May 8, 14",-0.011965459243779125
2014-05-09,82.2105,82.7403,81.9039,82.5637,2344736,2344736,0.204458,0.248,82.3505,"May 9, 14",-0.00951214420933679
2014-05-12,83.1027,83.6139,83.0096,83.3258,2343786,2343786,0.762068,0.923,83.3482,"May 12, 14",-0.00036949683648324517
2014-05-13,83.3165,83.6418,82.7496,82.796,2298535,2298535,-0.529729,-0.636,83.0601,"May 13, 14",-0.006725322290016553
2014-05-14,82.8704,83.112,82.0711,82.2105,2238503,2238503,-0.585495,-0.707,82.3909,"May 14, 14",-0.013749361178359051
2014-05-15,81.9689,82.3221,80.9559,81.4113,3329234,3329234,-0.799242,-0.972,81.5147,"May 15, 14",-0.02333708428606737
2014-05-16,86.6271,87.7581,86.3654,87.4497,4467741,4467741,6.0384,7.417,87.3379,"May 16, 14",0.049103490305506786
2014-05-19,81.021,81.9875,80.9559,81.8946,2005193,2005193,-5.5551,-6.352,81.6834,"May 19, 14",-0.01753910308241943
2014-05-20,81.6158,81.8295,80.7236,80.9373,2802816,2802816,-0.957236,-1.169,81.141,"May 20, 14",-0.02902349663973827
2014-05-21,81.3834,81.9132,81.2069,81.6529,2525553,2525553,0.715603,0.884,82.0112,"May 21, 14",-0.02043869351677009
2014-05-22,81.5879,82.1455,81.3648,81.9224,2654758,2654758,0.269514,0.33,81.9915,"May 22, 14",-0.017205596197541695
2014-05-23,81.8853,82.5823,81.783,82.5079,1862385,1862385,0.585491,0.715,82.3095,"May 23, 14",-0.010181557309199197
2014-05-27,83.27,85.0079,83.0377,84.9335,5093826,5093826,2.4256,2.94,85.9951,"May 27, 14",0.018917518228910427
2014-05-28,84.8592,84.9057,84.2272,84.6269,2466846,2466846,-0.306682,-0.361,87.6946,"May 28, 14",0.01523934517482726
2014-05-29,84.6826,84.8499,84.1343,84.8313,2668484,2668484,0.204458,0.242,84.5811,"May 29, 14",0.017691460544216036
2014-05-30,84.5711,85.2031,84.4689,85.0358,3594761,3594761,0.204457,0.241,86.6959,"May 30, 14",0.02014477557865837
2014-06-02,85.3053,85.6027,84.9707,85.3982,2832071,2832071,0.362446,0.426,85.3192,"Jun 2, 14",0.024492361732604287
2014-06-03,85.138,85.3611,84.822,85.2495,2589094,2589094,-0.148697,-0.174,85.6377,"Jun 3, 14",0.02270845979802436
2014-06-04,85.1194,85.4075,84.8778,85.3239,2636958,2636958,0.074351,0.087,86.5514,"Jun 4, 14",0.02360101059784102
2014-06-05,85.4262,86.625,85.0637,86.2439,3222994,3222994,0.920057,1.078,86.0087,"Jun 5, 14",0.03463792909019797
2014-06-06,86.374,88.2328,86.2625,88.2049,4551113,4551113,1.9609,2.274,90.3717,"Jun 6, 14",0.05816336078966746
2014-06-09,88.3629,89.1063,87.9632,88.8182,3825234,3825234,0.613371,0.695,88.7107,"Jun 9, 14",0.0655209065628877
2014-06-10,88.3722,88.651,87.9911,88.5487,2421970,2421970,-0.269511,-0.303,88.3997,"Jun 10, 14",0.06228780924365913
2014-06-11,88.2328,88.5255,87.9539,88.3629,1884535,1884535,-0.185868,-0.21,88.2639,"Jun 11, 14",0.060058831574224425
2014-06-12,88.6138,88.7346,87.6937,88.0655,2870488,2870488,-0.297396,-0.337,88.1365,"Jun 12, 14",0.05649102770506474
2014-06-13,88.242,88.4465,87.7123,88.1491,1792975,1792975,0.083642,0.095,88.0417,"Jun 13, 14",0.05749394768980506
2014-06-16,87.6937,88.0562,87.2105,87.703,2832531,2832531,-0.446087,-0.506,87.6703,"Jun 16, 14",0.05214224188606544
