date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-24,33.529,33.7826,33.3956,33.529,32143395,32143395,-0.257986,-0.764,33.6365,"Feb 24, 14",0
2014-02-25,33.4579,33.6714,33.2266,33.3956,30867657,30867657,-0.133441,-0.398,33.4736,"Feb 25, 14",-0.0039786453517850736
2014-02-26,33.4313,33.5735,33.0843,33.3333,41042629,41042629,-0.062271,-0.186,33.3624,"Feb 26, 14",-0.005836738345909576
2014-02-27,33.3155,33.707,33.1198,33.6803,33919024,33919024,0.346942,1.041,33.4569,"Feb 27, 14",0.0045125115571594465
2014-02-28,33.787,34.214,33.6447,34.0806,41217028,41217028,0.400323,1.189,34.0135,"Feb 28, 14",0.016451430105281797
2014-03-03,33.7337,33.9205,33.3556,33.6091,29716052,29716052,-0.471488,-1.383,33.5567,"Mar 3, 14",0.002388976706731322
2014-03-04,33.9827,34.2318,33.8671,34.1696,26868337,26868337,0.560447,1.668,34.1003,"Mar 4, 14",0.019105848668316952
2014-03-05,34.0272,34.0449,33.7426,33.9027,20520432,20520432,-0.26688,-0.781,33.9121,"Mar 5, 14",0.011145575471979464
2014-03-06,33.9294,34.0183,33.707,33.9383,23605310,23605310,0.035586,0.105,33.8687,"Mar 6, 14",0.012207342897193314
2014-03-07,34.0539,34.1251,33.529,33.7159,26596635,26596635,-0.222399,-0.655,33.697,"Mar 7, 14",0.005574278982373297
2014-03-10,33.7959,33.8137,33.5557,33.6447,19007850,19007850,-0.07117,-0.211,33.6571,"Mar 10, 14",0.0034507441319453843
2014-03-11,33.6892,34.0094,33.5557,33.8226,25218133,25218133,0.177921,0.529,33.8088,"Mar 11, 14",0.00875659876524793
2014-03-12,33.6269,34.1874,33.618,34.045,30496295,30496295,0.2224,0.658,33.9848,"Mar 12, 14",0.015389662680067947
2014-03-13,34.1785,34.2051,33.4858,33.707,32169650,32169650,-0.338051,-0.993,34.2584,"Mar 13, 14",0.0053088371260698874
2014-03-14,33.4944,33.9249,33.3652,33.5379,27195638,27195638,-0.169024,-0.501,33.6925,"Mar 14, 14",0.0002654418563034096
2014-03-17,33.7159,34.1696,33.618,33.8493,20479610,20479610,0.311363,0.928,33.9313,"Mar 17, 14",0.00955292433415837
2014-03-18,34.0361,35.4951,34.0005,35.1837,64063866,64063866,1.3344,3.942,35.0623,"Mar 18, 14",0.04935130782307847
2014-03-19,35.1125,35.1837,34.6144,34.9346,35597241,35597241,-0.249088,-0.708,34.4637,"Mar 19, 14",0.04192191833934802
2014-03-20,34.9168,36.1614,34.9079,35.8776,59269801,59269801,0.942974,2.699,35.741,"Mar 20, 14",0.07004682513644897
2014-03-21,36.2245,36.4203,35.5929,35.7264,80731942,80731942,-0.151232,-0.422,32.2884,"Mar 21, 14",0.06553729607205686
2014-03-24,35.8865,36.1534,35.4595,36.0288,46098374,46098374,0.302465,0.847,35.8521,"Mar 24, 14",0.07455635420084086
2014-03-25,36.1712,36.4647,35.5484,35.8865,43193147,43193147,-0.142335,-0.395,35.8483,"Mar 25, 14",0.07031226699275238
2014-03-26,36.011,36.2112,35.2282,35.3972,41982966,41982966,-0.48928,-1.363,35.4309,"Mar 26, 14",0.05571892988159487
2014-03-27,35.3527,35.5573,34.9969,35.0147,35369170,35369170,-0.382528,-1.081,34.9363,"Mar 27, 14",0.04431089504607934
2014-03-28,35.3972,36.1489,35.2994,35.8509,43472747,43472747,0.836224,2.388,35.9056,"Mar 28, 14",0.06925049956753852
2014-03-31,35.9666,36.9184,35.9399,36.4647,46886284,46886284,0.613824,1.712,36.6225,"Mar 31, 14",0.08755704017417748
2014-04-01,36.6071,36.9985,36.5359,36.8473,32610395,32610395,0.382529,1.049,36.7984,"Apr 1, 14",0.09896805750246035
2014-04-02,36.8651,37.0608,36.6249,36.785,28607267,28607267,-0.062272,-0.169,36.7778,"Apr 2, 14",0.09710996450833585
2014-04-03,36.7316,36.7316,36.2156,36.4825,30139567,30139567,-0.302466,-0.822,36.4425,"Apr 3, 14",0.08808792388678452
2014-04-04,36.696,36.8206,35.2638,35.4684,51409573,51409573,-1.0141,-2.78,35.7026,"Apr 4, 14",0.057842464732022994
2014-04-07,35.5484,35.8242,35.3527,35.4061,37559615,37559615,-0.062274,-0.176,35.5736,"Apr 7, 14",0.05598437173789849
2014-04-08,35.3616,35.5218,34.8723,35.4239,35919609,35919609,0.017793,0.05,35.3136,"Apr 8, 14",0.05651525545050552
2014-04-09,35.5218,36.0733,35.4773,36.0021,27398687,27398687,0.578239,1.632,35.8226,"Apr 9, 14",0.07376002863193042
2014-04-10,35.9754,36.1979,34.7745,35.0147,45960848,45960848,-0.987454,-2.743,35.3619,"Apr 10, 14",0.04431089504607934
2014-04-11,34.6944,35.3972,34.6944,34.8804,34333298,34333298,-0.134331,-0.384,35.0303,"Apr 11, 14",0.04030540725938734
2014-04-14,34.7923,35.0592,34.6055,34.8546,32006651,32006651,-0.0258,-0.074,34.8307,"Apr 14, 14",0.03953592412538382
2014-04-15,34.9969,35.5484,34.7389,35.3616,33978673,33978673,0.507074,1.455,35.2009,"Apr 15, 14",0.05465716245638102
2014-04-16,35.6374,35.9532,35.4995,35.9399,30616304,30616304,0.578242,1.635,36.1143,"Apr 16, 14",0.07190491813057347
2014-04-17,35.5929,35.7575,35.1481,35.5929,36689399,36689399,-0.346946,-0.965,35.536,"Apr 17, 14",0.06155566822750445
2014-04-21,35.6997,35.7175,35.3972,35.5307,22222222,22222222,-0.062272,-0.175,35.597,"Apr 21, 14",0.0597005577261475
2014-04-22,35.5484,35.7086,35.4328,35.5751,27057271,27057271,0.044481,0.125,35.5621,"Apr 22, 14",0.061024784514897415
2014-04-23,35.5751,35.5751,35.1125,35.3082,24602781,24602781,-0.266882,-0.75,35.2929,"Apr 23, 14",0.05306451131855992
2014-04-24,35.3527,35.5573,34.9613,35.4595,42381594,42381594,0.151235,0.428,35.6031,"Apr 24, 14",0.05757702287571937
2014-04-25,35.842,36.189,35.3616,35.504,56883812,56883812,0.044477,0.125,35.7659,"Apr 25, 14",0.05890423215723684
2014-04-28,35.7086,36.7316,35.6641,36.358,50610208,50610208,0.854015,2.405,36.2899,"Apr 28, 14",0.08437472039130285
2014-04-29,36.5626,36.6427,35.931,36.0377,29637370,29637370,-0.320254,-0.881,36.1634,"Apr 29, 14",0.07482179605714448
2014-04-30,35.9399,36.0288,35.7352,35.9399,35464148,35464148,-0.097854,-0.272,35.8835,"Apr 30, 14",0.07190491813057347
2014-05-01,35.7976,35.9043,35.5395,35.584,28791455,28791455,-0.355842,-0.99,35.6463,"May 1, 14",0.06129022637120104
2014-05-02,35.8598,35.8865,35.2816,35.3082,43417914,43417914,-0.275777,-0.775,36.0487,"May 2, 14",0.05306451131855992
