date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-24,26.7547,26.8299,26.37,26.7547,38786380,38786380,0.443262,1.685,26.718,"Feb 24, 14",0
2014-02-25,26.3867,26.7547,26.3783,26.671,27197243,27197243,-0.083634,-0.313,26.634,"Feb 25, 14",-0.003128422295895687
2014-02-26,26.5456,26.763,26.5289,26.7547,25023439,25023439,0.083634,0.314,26.6994,"Feb 26, 14",0
2014-02-27,26.6543,26.9638,26.6209,26.9554,22754494,22754494,0.200724,0.75,26.8361,"Feb 27, 14",0.007501485720266017
2014-02-28,26.8634,27.1059,26.6376,26.855,27517571,27517571,-0.100364,-0.372,26.9039,"Feb 28, 14",0.003748874029609778
2014-03-03,26.3616,26.8801,26.3616,26.7463,23791929,23791929,-0.108725,-0.405,26.4849,"Mar 3, 14",-0.00031396352790344074
2014-03-04,27.0474,27.3819,27.0474,27.3401,26342366,26342366,0.593806,2.22,27.2871,"Mar 4, 14",0.021880267766037367
2014-03-05,27.3067,27.5576,27.2648,27.3903,22451734,22451734,0.050181,0.184,27.5207,"Mar 5, 14",0.023756573611365486
2014-03-06,27.4321,27.5659,27.1059,27.1478,20551400,20551400,-0.24254,-0.885,27.301,"Mar 6, 14",0.014692745573674922
2014-03-07,27.1896,27.315,26.9136,27.1227,17610815,17610815,-0.02509,-0.092,27.0513,"Mar 7, 14",0.013754592651010797
2014-03-10,27.1143,27.2188,27.0056,27.0892,15958700,15958700,-0.033456,-0.123,27.1103,"Mar 10, 14",0.012502476200443362
2014-03-11,27.0558,27.2816,26.9638,27.1143,24165672,24165672,0.025092,0.093,27.1256,"Mar 11, 14",0.013440629123107355
2014-03-12,26.8885,27.2398,26.7045,26.7463,32518265,32518265,-0.367993,-1.357,27.3145,"Mar 12, 14",-0.00031396352790344074
2014-03-13,26.7547,26.7798,25.8514,26.0271,45895720,45895720,-0.719252,-2.689,25.5228,"Mar 13, 14",-0.027195221774118154
2014-03-14,26.0521,26.2905,25.7845,26.119,27112901,27112901,0.091994,0.353,26.2357,"Mar 14, 14",-0.023760311272411946
2014-03-17,26.2696,26.37,26.1441,26.278,21264210,21264210,0.158904,0.608,26.2532,"Mar 17, 14",-0.017817430208524148
2014-03-18,26.3198,26.809,26.278,26.7045,23080384,23080384,0.426537,1.623,26.678,"Mar 18, 14",-0.0018763058453281198
2014-03-19,26.7045,26.8299,26.2529,26.5205,23082990,23082990,-0.183995,-0.689,25.946,"Mar 19, 14",-0.008753602170833584
2014-03-20,26.8634,26.8634,26.5205,26.6878,22696147,22696147,0.167268,0.631,26.6597,"Mar 20, 14",-0.0025004952400886726
2014-03-21,27.039,27.1728,26.3115,26.9136,62719258,62719258,0.225813,0.846,25.4128,"Mar 21, 14",0.0059391434028413384
2014-03-24,26.5707,26.6794,26.2027,26.3365,41807065,41807065,-0.577077,-2.144,26.3873,"Mar 24, 14",-0.015630898496338915
2014-03-25,26.5707,26.7547,26.4201,26.6125,21139199,21139199,0.275994,1.048,26.5926,"Mar 25, 14",-0.005314954008080785
2014-03-26,26.7714,27.1059,26.487,26.9136,31579480,31579480,0.301083,1.131,26.8972,"Mar 26, 14",0.0059391434028413384
