date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-24,79.2664,80.6261,79.1006,79.9545,16034244,16034244,1.169,1.484,80.1838,"Feb 24, 14",0
2014-02-25,80.0374,80.3939,79.5566,79.8467,10664330,10664330,-0.107777,-0.135,80.0049,"Feb 25, 14",-0.0013482668267576867
2014-02-26,80.054,80.3027,79.2001,79.4156,9088471,9088471,-0.431109,-0.54,79.6364,"Feb 26, 14",-0.006740083422446494
2014-02-27,79.2415,79.6312,78.8933,79.4571,9101165,9101165,0.041451,0.052,79.3347,"Feb 27, 14",-0.006221038215485045
2014-02-28,79.5566,80.2803,79.4073,79.8136,12652612,12652612,0.356495,0.449,79.8606,"Feb 28, 14",-0.0017622522809848356
2014-03-03,79.3908,80.0374,78.6196,79.1752,11897226,11897226,-0.638376,-0.8,78.9423,"Mar 3, 14",-0.009746793488796654
2014-03-04,80.0789,80.3027,79.4819,80.0208,12566341,12566341,0.845641,1.068,79.9561,"Mar 4, 14",0.0008292216197962372
2014-03-05,78.9265,79.0011,77.43,77.7658,19836928,19836928,-2.255,-2.818,78.0797,"Mar 5, 14",-0.027374319144013125
2014-03-06,77.658,77.8819,77.3264,77.7326,12612051,12612051,-0.033163,-0.043,77.6005,"Mar 6, 14",-0.02778955530958221
2014-03-07,78.2384,78.8104,77.9233,78.7524,12660051,12660051,1.0197,1.312,78.5174,"Mar 7, 14",-0.01503480104309328
2014-03-10,78.885,79.2166,78.4788,79.1752,9967356,9967356,0.42282,0.537,78.8866,"Mar 10, 14",-0.009746793488796654
2014-03-11,79.0591,79.2498,77.5337,77.9399,12144602,12144602,-1.2353,-1.56,78.1319,"Mar 11, 14",-0.0251968306974592
2014-03-12,77.6331,78.3213,77.5585,78.1057,9705872,9705872,0.165812,0.213,77.8957,"Mar 12, 14",-0.02312315129229746
2014-03-13,78.2964,78.4042,77.3761,77.6331,9872689,9872689,-0.472566,-0.605,72.2989,"Mar 13, 14",-0.029034013094947717
2014-03-14,77.5834,78.114,77.343,77.4922,11731826,11731826,-0.140941,-0.182,77.6621,"Mar 14, 14",-0.030796265375932552
